	concept	q_id	story-comments	q1-issues	q2-issues	q3-issues
0	Abstention_doctrine	0	nan	There is no issue.	There is no issue.	The question is confusing.
1	Abstention_doctrine	0	nan	There is no issue.	There is no issue.	Other issues not covered above,There is no issue.
2	Abstention_doctrine	0	nan	There is no issue.	There is no issue.	There is no issue.
3	Brady_disclosure	1	nan	The question is confusing.	There is no issue.	The question cannot be derived from the definition or story above.,The question is confusing.
4	Brady_disclosure	1	nan	There is no issue.	There are more than one right answers in the 4 candidates.	Other issues not covered above
5	Brady_disclosure	1	nan	There is no issue.	There is no issue.	There is no issue.
6	Commanding_precedent	2	nan	There is no issue.	The question cannot be derived from the definition or story above.,Other issues not covered above	The question is confusing.,There are more than one right answers in the 4 candidates.
7	Commanding_precedent	2	nan	There is no issue.	There is no issue.	There are more than one right answers in the 4 candidates.
8	Commanding_precedent	2	nan	There is no issue.	There is no issue.	There is no issue.
9	Constitutional_convention_(political_custom)	3	nan	The question is too easy and simple.	There is no issue.	The question is too easy and simple.
10	Constitutional_convention_(political_custom)	3	nan	There is no issue.	There is no issue.	Other issues not covered above
11	Constitutional_convention_(political_custom)	3	nan	There is no issue.	There is no issue.	There is no issue.
12	Doctrine_of_foreign_equivalents	4	nan	There is no issue.	There is no issue.	The question is too easy and simple.
13	Doctrine_of_foreign_equivalents	4	nan	There are more than one right answers in the 4 candidates.	There is no issue.	There are more than one right answers in the 4 candidates.
14	Doctrine_of_foreign_equivalents	4	nan	There is no issue.	There is no issue.	There is no issue.
15	FTC_v._Dean_Foods_Co.	5	was easy to follow	There is no issue.	There is no issue.	There is no issue.
16	FTC_v._Dean_Foods_Co.	5	A lot easier to understand the definition 	There is no issue.	There is no issue.	The question cannot be derived from the definition or story above.
17	FTC_v._Dean_Foods_Co.	5	The story was very straight forward and easy to understand.	There is no issue.	There is no issue.	The reasoning given in the suggested answer is wrong or flawed.
18	Learned_intermediary	6	nan	There are more than one right answers in the 4 candidates.	There is no issue.	There are more than one right answers in the 4 candidates.
19	Learned_intermediary	6	It was a little long winded	There is no issue.	There is no issue.	The question is confusing.
20	Learned_intermediary	6	The story explains a law in the Netherlands versus the U.S.	Other issues not covered above,There is no issue.	The question cannot be derived from the definition or story above.	The question is confusing.
