	PROLIFIC_PID	q_id	law_background	age	gender	edu_background	law_interest	relevance	conceptQ	predictionQ	limitationQ	familiarity_concept	perceived_difficulty	familiarity_story_setting	batch_id	concept	concept_question_answer	prediction_question_answer	limitation_question_answer
0	56b3edf12bac74000d89e452	0	1.0	1.0	1.0	4.0	5.0	3.0	2.0	2.0	2.0	1.0	1.0	4.0	1	Abstention_doctrine	2	2	2
1	64f66c9ee363277ddc6f05e9	0	0.0	1.0	1.0	4.0	4.0	1.0	2.0	2.0	0.0	1.0	3.0	5.0	1	Abstention_doctrine	2	2	2
2	5c423a7a5aca820001f6fc82	0	1.0	0.0	0.0	4.0	5.0	4.0	2.0	1.0	2.0	1.0	3.0	4.0	1	Abstention_doctrine	2	2	2
3	655a67b1c4d20ea6c0dc83af	0	1.0	0.0	1.0	4.0	4.0	3.0	2.0	2.0	2.0	1.0	1.0	5.0	1	Abstention_doctrine	2	2	2
4	5aea351112ed990001f873c3	0	1.0	1.0	0.0	4.0	5.0	5.0	2.0	2.0	2.0	2.0	4.0	4.0	1	Abstention_doctrine	2	2	2
5	653eab5d336cbcdb305b8f18	0	1.0	1.0	0.0	4.0	4.0	3.0	2.0	2.0	2.0	1.0	2.0	4.0	1	Abstention_doctrine	2	2	2
6	5c06b3f64a2b7b0001c3c185	0	0.0	2.0	1.0	4.0	2.0	3.0	2.0	2.0	2.0	1.0	5.0	3.0	1	Abstention_doctrine	2	2	2
7	6529ab7cce64633c2c5cc4a2	0	0.0	0.0	0.0	4.0	5.0	5.0	2.0	2.0	2.0	2.0	5.0	5.0	1	Abstention_doctrine	2	2	2
8	652450c48e576172e7f00c1a	0	1.0	2.0	1.0	4.0	1.0	3.0	0.0	2.0	1.0	2.0	4.0	3.0	1	Abstention_doctrine	2	2	2
9	64d8e4e738368be56871e9f4	0	1.0	1.0	1.0	4.0	5.0	1.0	2.0	1.0	2.0	3.0	4.0	3.0	1	Abstention_doctrine	2	2	2
10	651c96a60cb6fef420819ac0	0	0.0	1.0	1.0	4.0	5.0	3.0	2.0	2.0	2.0	1.0	4.0	3.0	1	Abstention_doctrine	2	2	2
11	65612746d0cb24811468bab3	0	1.0	2.0	0.0	4.0	5.0	5.0	2.0	2.0	1.0	3.0	1.0	5.0	1	Abstention_doctrine	2	2	2
12	6151fa2a75f20752350d8005	0	1.0	2.0	0.0	4.0	4.0	4.0	2.0	1.0	1.0	2.0	2.0	4.0	1	Abstention_doctrine	2	2	2
13	653bb543ad732bd7544272be	0	1.0	3.0	0.0	4.0	5.0	4.0	2.0	2.0	2.0	1.0	2.0	4.0	1	Abstention_doctrine	2	2	2
14	5f2cb797b8aecb1c7114e485	0	1.0	0.0	1.0	4.0	4.0	2.0	2.0	1.0	2.0	2.0	3.0	3.0	1	Abstention_doctrine	2	2	2
15	650739048d93f13a5f6b200b	0	1.0	0.0	0.0	4.0	5.0	1.0	2.0	2.0	2.0	3.0	1.0	5.0	1	Abstention_doctrine	2	2	2
16	5ba855d47c0ebe0001272f70	0	0.0	1.0	0.0	4.0	5.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	1	Abstention_doctrine	2	2	2
17	65381ee8f58cff48dc4b59d8	0	1.0	1.0	1.0	4.0	2.0	4.0	2.0	2.0	0.0	1.0	2.0	5.0	1	Abstention_doctrine	2	2	2
18	56b3edf12bac74000d89e452	1	1.0	1.0	1.0	4.0	5.0	4.0	1.0	2.0	3.0	1.0	1.0	5.0	1	Constitutional_convention_(political_custom)	1	2	3
19	64f66c9ee363277ddc6f05e9	1	0.0	1.0	1.0	4.0	4.0	3.0	1.0	2.0	3.0	1.0	3.0	4.0	1	Constitutional_convention_(political_custom)	1	2	3
20	5c423a7a5aca820001f6fc82	1	1.0	0.0	0.0	4.0	5.0	2.0	1.0	2.0	3.0	1.0	5.0	5.0	1	Constitutional_convention_(political_custom)	1	2	3
21	655a67b1c4d20ea6c0dc83af	1	1.0	0.0	1.0	4.0	4.0	5.0	1.0	2.0	3.0	1.0	5.0	5.0	1	Constitutional_convention_(political_custom)	1	2	3
22	5aea351112ed990001f873c3	1	1.0	1.0	0.0	4.0	5.0	5.0	2.0	2.0	3.0	1.0	5.0	4.0	1	Constitutional_convention_(political_custom)	1	2	3
